Date,Description,Deposits,Withdrawls,Balance
20-Aug-2020,Interest,00.00,"4,893.98","39,151.80"
20-Aug-2020,Debit Card,00.00,"5,593.11","33,558.69"
20-Aug-2020,Reversal,00.00,"8,389.67","25,169.02"
20-Aug-2020,Reversal,343.29,00.00,"25,512.31"
21-Aug-2020,RTGS,00.00,"4,252.05","21,260.26"
21-Aug-2020,Miscellaneous,"1,103.00",00.00,"22,363.26"
21-Aug-2020,Tax,361.96,00.00,"22,725.22"
21-Aug-2020,Interest,"31,760.78",00.00,"54,486.00"
21-Aug-2020,Tax,"12,340.20",00.00,"66,826.20"
21-Aug-2020,Reversal,"4,060.41",00.00,"70,886.61"
21-Aug-2020,Cash,00.00,"35,443.31","35,443.30"
21-Aug-2020,ATM,00.00,"5,907.22","29,536.08"
21-Aug-2020,Transfer,"12,770.01",00.00,"42,306.09"
21-Aug-2020,ATM,"2,349.65",00.00,"44,655.74"
21-Aug-2020,Interest,329.60,00.00,"44,985.34"
21-Aug-2020,IMPS,00.00,"22,492.67","22,492.67"
21-Aug-2020,ATM,"25,794.30",00.00,"48,286.97"
21-Aug-2020,Cheque,483.00,00.00,"48,769.97"
21-Aug-2020,Miscellaneous,00.00,"48,769.97",00.00
21-Aug-2020,Tax,"1,110.00",00.00,"1,110.00"
21-Aug-2020,Bill,00.00,158.57,951.43
21-Aug-2020,Miscellaneous,00.00,118.93,832.50
21-Aug-2020,Bill,00.00,832.50,00.00
21-Aug-2020,Debit Card,"32,042.47",00.00,"32,042.47"
21-Aug-2020,Bill,00.00,"8,010.62","24,031.85"
21-Aug-2020,Cash,49.32,00.00,"24,081.17"
21-Aug-2020,Cash,"238,015.00",00.00,"262,096.17"
21-Aug-2020,NEFT,00.00,"87,365.39","174,730.78"
21-Aug-2020,ATM,00.00,"174,730.78",00.00
21-Aug-2020,RTGS,306.00,00.00,306.00
21-Aug-2020,Transfer,"2,118.30",00.00,"2,424.30"
21-Aug-2020,Reversal,"19,870.30",00.00,"22,294.60"
21-Aug-2020,Cash,00.00,"4,458.92","17,835.68"
21-Aug-2020,Transfer,"1,998,357.50",00.00,"2,016,193.18"
21-Aug-2020,ATM,"17,063.58",00.00,"2,033,256.76"
21-Aug-2020,Cash,00.00,"508,314.19","1,524,942.57"
21-Aug-2020,Reversal,00.00,"190,617.82","1,334,324.75"
21-Aug-2020,RTGS,00.00,"444,774.92","889,549.83"
21-Aug-2020,Reversal,62.55,00.00,"889,612.38"
21-Aug-2020,Bill,00.00,"177,922.48","711,689.90"
21-Aug-2020,IMPS,00.00,"88,961.24","622,728.66"
21-Aug-2020,ATM,"7,240.70",00.00,"629,969.36"
21-Aug-2020,Reversal,00.00,"69,996.60","559,972.76"
21-Aug-2020,Interest,00.00,"79,996.11","479,976.65"
21-Aug-2020,Cheque,00.40,00.00,"479,977.05"
21-Aug-2020,Miscellaneous,00.00,"239,988.53","239,988.52"
21-Aug-2020,IMPS,00.00,"39,998.09","199,990.43"
21-Aug-2020,Cash,00.00,"66,663.48","133,326.95"
21-Aug-2020,Cash,00.00,"33,331.74","99,995.21"
21-Aug-2020,RTGS,"18,195.02",00.00,"118,190.23"
21-Aug-2020,NEFT,"25,126.77",00.00,"143,317.00"
21-Aug-2020,Transfer,"1,429.21",00.00,"144,746.21"
21-Aug-2020,IMPS,"2,030.70",00.00,"146,776.91"
21-Aug-2020,Transfer,00.00,"18,347.11","128,429.80"
21-Aug-2020,Miscellaneous,00.00,"18,347.11","110,082.69"
21-Aug-2020,Reversal,"3,090.70",00.00,"113,173.39"
21-Aug-2020,Reversal,25.00,00.00,"113,198.39"
21-Aug-2020,Tax,"6,103.37",00.00,"119,301.76"
21-Aug-2020,RTGS,"12,421.40",00.00,"131,723.16"
21-Aug-2020,IMPS,21.13,00.00,"131,744.29"
21-Aug-2020,Bill,59.50,00.00,"131,803.79"
21-Aug-2020,Cheque,45.91,00.00,"131,849.70"
21-Aug-2020,IMPS,"1,765,658.00",00.00,"1,897,507.70"
21-Aug-2020,Interest,"597,100.00",00.00,"2,494,607.70"
21-Aug-2020,NEFT,00.00,"831,535.90","1,663,071.80"
21-Aug-2020,Interest,00.00,"277,178.63","1,385,893.17"
21-Aug-2020,Commission,00.00,"138,589.32","1,247,303.85"
21-Aug-2020,Debit Card,00.00,"207,883.98","1,039,419.88"
21-Aug-2020,Cheque,218.00,00.00,"1,039,637.88"
21-Aug-2020,Interest,00.00,"1,039,637.88",00.00
21-Aug-2020,RTGS,00.60,00.00,00.60
21-Aug-2020,Miscellaneous,"440,802.00",00.00,"440,802.60"
21-Aug-2020,IMPS,"2,935.62",00.00,"443,738.22"
21-Aug-2020,Cheque,04.10,00.00,"443,742.32"
